Sr. No,Questions,Data,,,,,,,,Alpha,Type
28,"Children are generally believed to have considerable influence over their parents in the purchase of certain items, particularly food and beverage items. To study this notion further, a study is conducted in which parents are asked to report how many food and beverage items purchased by the family per week are purchased mainly because of the influence of their children. Because the age of the child may have an effect on the study, parents are asked to focus on one particular child in the family for the week, and to report the age of the child. Four age categories are selected for the children: 4–5 years, 6–7 years, 8–9 years, and 10–12 years. Also, because the number of children in the family might make a difference, three different sizes of families are chosen for the study: families with one child, families with two children, and families with three or
more children. Suppose the following data represent the reported number of child-influenced buying incidents per week. Use the data to compute a two-way ANOVA. Let alpha = 0.05",,,,,,,,,0.05,Two Way FD
,,,,1,2,3 or more,,,,,
,,Age of Child (years),04-May,2,1,1,,,,,
,,Age of Child (years),04-May,4,2,1,,,,,
,,Age of Child (years),06-Jul,5,3,2,,,,,
,,Age of Child (years),06-Jul,4,1,1,,,,,
,,Age of Child (years),08-Sep,8,4,2,,,,,
,,Age of Child (years),08-Sep,6,5,3,,,,,
,,Age of Child (years),10-Dec,7,3,4,,,,,
,,Age of Child (years),10-Dec,8,5,3,,,,,
,,,,,,,,,,,
29,"A shoe retailer conducted a study to determine whether there is a difference in the number of pairs of shoes sold per day by stores according to the number of competitors within a 1-mile radius and the location of the store. The company researchers selected three types of stores for consideration in the study: stand-alone suburban stores, mall stores, and downtown stores. These stores vary in the numbers of competing stores within a 1-mile radius, which have been reduced to four categories: 0 competitors, 1 competitor, 2 competitors, and 3 or more competitors. Suppose the following data represent the number of pairs of shoes sold per day for each of these types of stores with the given number of competitors. Use alpha = 0.05 two-way ANOVA to analyze the data.",,,,,,,,,0.05,Two Way FD
,,,,0,1,2,3 or more,,,,
,,Store Location,Stand-Alone,41,38,59,47,,,,
,,Store Location,Stand-Alone,30,31,48,40,,,,
,,Store Location,Stand-Alone,45,39,51,39,,,,
,,Store Location,Mall,25,29,44,43,,,,
,,Store Location,Mall,31,35,48,42,,,,
,,Store Location,Mall,22,30,50,53,,,,
,,Store Location,Downtown,18,22,29,24,,,,
,,Store Location,Downtown,29,17,28,27,,,,
,,Store Location,Downtown,33,25,26,32,,,,
,,,,,,,,,,,
30,"Consider the valve opening data displayed in Table 11.1. Suppose the data 
represent valves produced on four different machines on three different shifts
and that the quality controllers want to know whether there is any difference in
the mean measurements of valve openings by shift or by machine. The data are
given here, organized by machine and shift. In addition, Excel has been used to
analyze the data with a two-way ANOVA. What are the hypotheses for this
problem? Study the output in terms of significant differences. Discuss the
results obtained. What conclusions might the quality controllers reach 
from this analysis?",,,,,,,,,0.05,Two Way FD
,,,,Shift 1,Shift 2,Shift 3,,,,,
,,Machine,1,6.56,6.38,6.29,,,,,
,,Machine,1,6.4,6.19,6.23,,,,,
,,Machine,2,6.54,6.26,6.19,,,,,
,,Machine,2,6.34,6.23,6.33,,,,,
,,Machine,3,6.58,6.22,6.26,,,,,
,,Machine,3,6.44,6.27,6.31,,,,,
,,Machine,4,6.36,6.29,6.21,,,,,
,,Machine,4,6.5,6.19,6.58,,,,,
,,,,,,,,,,,
31, Compute a one-way ANOVA of the following data. Let alpha = 0.01.Cconduct multiple comparisons for the means.,Treatment,,,,,,,,0.01,One Way CRD
,,1,2,3,,,,,,,
,,7,11,8,,,,,,,
,,12,17,6,,,,,,,
,,9,16,10,,,,,,,
,,11,13,9,,,,,,,
,,8,10,11,,,,,,,
,,9,15,7,,,,,,,
,,11,14,10,,,,,,,
,,10,18,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
32," Analyze the following data, gathered from a randomized block design using If there is a significant
difference in the treatment effects, do multiple comparisons.",,,Treatment,,,,,,0.05,One Way RBD
,,,,A,B,C,D,,,,
,,BLOCKING VARIABLE,1,17,10,9,21,,,,
,,BLOCKING VARIABLE,2,13,9,8,16,,,,
,,BLOCKING VARIABLE,3,20,17,18,22,,,,
,,BLOCKING VARIABLE,4,11,6,5,10,,,,
,,BLOCKING VARIABLE,5,16,13,14,22,,,,
,,BLOCKING VARIABLE,6,23,19,20,28,,,,
,,,,,,,,,,,
33,Compute a two-way ANOVA on the following data (alpha = 0.01),,,Treatment 1,,,,,,0.01,Two Way FD
,,,,A,B,C,,,,,
,,Treatment,A,5,2,2,,,,,
,,Treatment,A,3,4,3,,,,,
,,Treatment,A,6,4,5,,,,,
,,Treatment,B,11,9,13,,,,,
,,Treatment,B,8,10,12,,,,,
,,Treatment,B,12,8,10,,,,,
,,Treatment,C,6,7,4,,,,,
,,Treatment,C,4,6,6,,,,,
,,Treatment,C,5,7,8,,,,,
,,Treatment,D,9,8,8,,,,,
,,Treatment,D,11,12,9,,,,,
,,Treatment,D,9,9,11,,,,,
,,,,,,,,,,,
34,"A company conducted a consumer research project to ascertain customer service ratings from its customers.
The customers were asked to rate the company on a scale from 1 to 7 on various quality characteristics. One
question was the promptness of company response to a repair problem. The following data represent customer responses to this question. The customers were divided by geographic region and by age. Use analysis of variance to analyze the responses. Let alpha = 0.05. Compute multiple comparisons where they are appropriate. Graph the cell means and observe any interaction.",,,Geographic Region,,,,,,0.05,Two Way FD
,,,,Southeast,West,Midwest,Northeast,,,,
,,Age,21-35,3,2,3,2,,,,
,,Age,21-35,2,4,3,3,,,,
,,Age,21-35,3,3,2,2,,,,
,,Age,36-50,5,4,5,6,,,,
,,Age,36-50,5,4,6,4,,,,
,,Age,36-50,4,6,5,5,,,,
,,Age,Over 50,3,2,3,3,,,,
,,Age,Over 50,1,2,2,2,,,,
,,Age,Over 50,2,3,3,1,,,,
,,,,,,,,,,,
35,"A major automobile manufacturer wants to know whether there is any difference in the average mileage
of four different brands of tires (A, B, C, and D), because the manufacturer is trying to select the best
supplier in terms of tire durability. The manufacturer selects comparable levels of tires from each company
and tests some on comparable cars. The mileage results follow.
Use alpha = 0.05  to test whether there is a significant difference in the mean mileage of these four brands. Assume tire mileage is normally distributed.",A,B,C,D,,,,,0.05,One Way CRD
,,"31,000","24,000","30,500","24,500",,,,,,
,,"25,000","25,500","28,000","27,000",,,,,,
,,"28,500","27,000","32,500","26,000",,,,,,
,,"29,000","26,500","28,000","21,000",,,,,,
,,"32,000","25,000","31,000","25,500",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
36,"Agricultural researchers are studying three different ways of planting peanuts to determine whether significantly different levels of production yield will result. The researchers have access to a large peanut farm on which to conduct their tests. They identify six blocks of land. In each block of land, peanuts are planted in each of the three different ways. At the end of the growing season, the peanuts are harvested and the average number of pounds per acre is determined for peanuts planted under each method in each block. Using the following data and alpha = 0.01, test to determine whether there is a significant difference in yields among the planting methods.",Block,Method 1,Method 2,Method 3,,,,,0.01,One Way RBD
,,1,"1,310","1,080",850,,,,,,
,,2,"1,275","1,100","1,020",,,,,,
,,3,"1,280","1,050",780,,,,,,
,,4,"1,225","1,020",870,,,,,,
,,5,"1,190",990,805,,,,,,
,,6,"1,300",1030,910,,,,,,
,,,,,,,,,,,
37,"The Construction Labor Research Council lists a number of construction labor jobs that seem to pay approximately the same wages per hour. Some of these are bricklaying, iron working, and crane operation. Suppose a labor researcher takes a random sample of workers from each of these types of construction jobs and from across the country and asks what are their hourly wages. If this survey yields the following data, is there a significant difference in mean hourly wages for these three jobs? If there is
a significant difference, use the Anova procedure to determine which pairs, if any, are also significantly different. Let alpha = 0.05",Job Type,,,,,,,,0.05,One Way CRD
,,Bricklaying,Iron Working,Crane Operation,,,,,,,
,,19.25,26.45,16.2,,,,,,,
,,17.8,21.1,23.3,,,,,,,
,,20.5,16.4,22.9,,,,,,,
,,24.33,22.86,19.5,,,,,,,
,,19.81,25.55,27,,,,,,,
,,22.29,18.5,22.95,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
38,"Why are mergers attractive to CEOs? One of the reasons might be a potential increase in market share that can come with the pooling of company markets. Suppose a random survey of CEOs is taken, and they
are asked to respond on a scale from 1 to 5 (5 representing strongly agree) whether increase in market share is a good reason for considering a merger of their company with another. Suppose also that the data are as given here and that CEOs have been categorized by size of company and years they have been with their company. Use a two-way ANOVA to determine whether there are any significant differences in the responses to this question. Let alpha = 0.05",,,Company Size ($ million per year in sales),,,,,,0.05,Two Way FD
,,,,0-5,Jun-20,21-100,>100,,,,
,,Years with the Company,0-2,2,2,3,3,,,,
,,Years with the Company,0-2,3,1,4,4,,,,
,,Years with the Company,0-2,2,2,4,4,,,,
,,Years with the Company,0-2,2,3,5,3,,,,
,,Years with the Company,03-May,2,2,3,3,,,,
,,Years with the Company,03-May,1,3,2,3,,,,
,,Years with the Company,03-May,2,2,4,3,,,,
,,Years with the Company,03-May,3,3,4,4,,,,
,,Years with the Company,Over 5,2,2,3,2,,,,
,,Years with the Company,Over 5,1,3,2,3,,,,
,,Years with the Company,Over 5,1,1,3,2,,,,
,,Years with the Company,Over 5,2,2,3,3,,,,
,,,,,,,,,,,
39,"Are some unskilled office jobs viewed as having more status than others? Suppose a study is conducted in
which eight unskilled, unemployed people are interviewed. The people are asked to rate each of five positions on a scale from 1 to 10 to indicate the status of the position, with 10 denoting most status and 1 denoting least status. The resulting data are given below. Use alpha = 0.05 to analyze the repeated measures randomized block design data.",,,JOB,,,,,,,
,,,,Mail Clerk,Typist,Receptionist,Secretary,Telephone Operator,,0.05,One Way RBD
,,Respodent,1,4,5,3,7,6,,,
,,Respodent,2,2,4,4,5,4,,,
,,Respodent,3,3,3,2,6,7,,,
,,Respodent,4,4,4,4,5,4,,,
,,Respodent,5,3,5,1,3,5,,,
,,Respodent,6,3,4,2,7,7,,,
,,Respodent,7,2,2,2,4,4,,,
,,Respodent,8,3,4,3,6,6,,,
,,,,,,,,,,,
40,"Pipeline operators estimate that it costs between $75 and $500 in U.S. currency to replace each seal, thus making the Clarkson longer-lasting valves more attractive. Tyco does business with pipeline companies around the world. Suppose in an attempt to develop marketing materials, Tyco marketers are interested in determining whether there is a significant difference in the cost of replacing pipeline seals in different countries. Four countrie Canada, Colombia, Taiwan, and the United States are chosen for the study. Pipeline operators from equivalent operations are selected from companies in each country. The operators keep a cost log of seal replacements. A random sample of the data follows. Use these data to help Tyco determine whether there is a difference in the cost of seal replacements in the various countries. Explain your answer and tell how Tyco might use the information in their marketing materials.",Canada,Colombia,Taiwan,United States,,,,,0.05,One Way CRD
,,$215,$355,$170,$230,,,,,,
,,205,280,190,190,,,,,,
,,245,300,235,225,,,,,,
,,270,330,195,220,,,,,,
,,290,360,205,215,,,,,,
,,260,340,180,245,,,,,,
,,225,300,190,230,,,,,,
,,,,,,,,,,,
41,"In the late 1980s, the Clarkson Company installed a manufacturing resource planning system. Using this and other quality improvement approaches, the company was able to reduce lead-time from six to eight weeks to less than two weeks. Suppose that Tyco now uses a similar system and wants to test to determine whether lead-times differ significantly according to the type of valve it is manufacturing. As a control of the experiment, they are including in the study, as a blocking variable, the day of the week the valve was ordered. One lead-time was selected per valve per day of the week. The data are given here in weeks. Analyze the data and discuss your findings.",,Type of Valve,,,,,,,0.01,One Way RBD
,,Days,Safety,Butterfly,Clack,Slide,Poppet,Needle,,,
,,Monday,1.6,2.2,1.3,1.8,2.5,0.8,,,
,,Tuesday,1.8,2,1.4,1.5,2.4,1,,,
,,Wednesday,1,1.8,1,1.6,2,0.8,,,
,,Thursday,1.8,2.2,1.4,1.6,1.8,0.6,,,
,,Friday,2,2.4,1.5,1.8,2.2,1.2,,,
,,,,,,,,,,,
42,"A teacher wants to compare the test scores of students using three different study methods. The scores are as follows:
Perform a one-way ANOVA to determine if there is a significant difference in test scores among the methods at α = 0.05.",Method A,Method B,Method C,,,,,,0.05,One Way CRD
,,78,85,80,,,,,,,
,,82,87,83,,,,,,,
,,79,84,82,,,,,,,
,,81,86,81,,,,,,,
,,80,83,84,,,,,,,
,,,,,,,,,,,
43,"A botanist is examining the effect of different fertilizers on plant growth. The following data represents the growth (in cm) of plants:
Conduct a one-way ANOVA to see if there are significant differences in plant growth at α = 0.01.",Fertilizer X,Fertilizer Y,Fertilizer Z,,,,,,0.01,One Way CRD
,,25,30,28,,,,,,,
,,26,31,29,,,,,,,
,,27,32,27,,,,,,,
,,24,29,30,,,,,,,
,,28,30,28,,,,,,,
,,,,,,,,,,,
44,"A company wants to evaluate the effectiveness of three training programs based on employee performance scores:
Use one-way ANOVA to determine if there are significant differences in performance scores at α = 0.05.",Program 1,Program 2,Program 3,,,,,,0.05,One Way CRD
,,88,92,90,,,,,,,
,,87,91,89,,,,,,,
,,89,90,91,,,,,,,
,,90,93,88,,,,,,,
,,91,89,92,,,,,,,
,,,,,,,,,,,
45,"A retail store is comparing customer satisfaction ratings for three different service approaches:
Perform a one-way ANOVA to check if there are significant differences in customer satisfaction at α = 0.01.",Approach A,Approach B,Approach C,,,,,,0.01,One Way CRD
,,4.2,4.5,4,,,,,,,
,,4.1,4.3,4.2,,,,,,,
,,4.3,4.4,4.1,,,,,,,
,,4,4.2,4.3,,,,,,,
,,4.4,4.6,4.1,,,,,,,
,,,,,,,,,,,
46,"A company wants to compare sales figures from three different regions:
Conduct a one-way ANOVA to determine if there are significant differences in sales figures at α = 0.05.",Region 1,Region 2,Region 3,,,,,,0.05,One Way CRD
,,150,160,155,,,,,,,
,,145,158,152,,,,,,,
,,148,162,153,,,,,,,
,,151,159,154,,,,,,,
,,149,161,150,,,,,,,
,,,,,,,,,,,
47,"Researchers are testing the effect of three dietary supplements on weight gain in rats:
Use one-way ANOVA to check if there are significant differences in weight gain at α = 0.01.",Supplement A,Supplement B,Supplement C,,,,,,0.01,One Way CRD
,,2.5,3,2.8,,,,,,,
,,2.6,3.1,2.9,,,,,,,
,,2.4,2.9,2.7,,,,,,,
,,2.7,3.2,2.8,,,,,,,
,,2.5,3,2.9,,,,,,,
,,,,,,,,,,,
48,"A study is conducted to compare the energy consumption of three different light bulbs:
Perform a one-way ANOVA to determine if there are significant differences in energy consumption at α = 0.05.",Bulb A,Bulb B,Bulb C,,,,,,0.05,One Way CRD
,,60,55,50,,,,,,,
,,58,54,49,,,,,,,
,,59,56,51,,,,,,,
,,60,55,52,,,,,,,
,,57,53,50,,,,,,,
,,,,,,,,,,,
49,"A gym is evaluating the effectiveness of three workout programs based on weight loss:
Use one-way ANOVA to determine if there are significant differences in weight loss at α = 0.05.",Program X,Program Y,Program Z,,,,,,0.05,One Way CRD
,,3.5,4,3.8,,,,,,,
,,3.6,3.9,4.1,,,,,,,
,,3.4,4.2,3.9,,,,,,,
,,3.7,4.1,4,,,,,,,
,,3.8,4,3.7,,,,,,,
,,,,,,,,,,,
50,"A software company is comparing usability scores for three different versions of their software:
Perform a one-way ANOVA to check if there are significant differences in usability scores at α = 0.05.",Version 1,Version 2,Version 3,,,,,,0.05,One Way CRD
,,7.8,8,7.9,,,,,,,
,,7.9,8.1,7.8,,,,,,,
,,7.7,8.2,7.9,,,,,,,
,,7.6,8,8,,,,,,,
,,7.8,8.1,7.7,,,,,,,
