Questions,Alpha,Type,Data,isFirstColumnMergedHeader,isSecondColumnGroupedHeader,isFirstColumnHeader,isFirstColumnGroupedHeader,isFirstRowHeader,Extracted Data
"A researcher is studying the effect of different fertilizers on the height of plants. The following data represents the heights (in cm) of plants grown with three different fertilizers:    
Perform a one-way ANOVA to determine if there is a significant difference in plant heights using a significance level of 0.05.",0.05,CRD,"0 Fertilizer A Fertilizer B Fertilizer C
0           45           50           55
1           48           52           53
2           46           51           56
3           47           49           54
4           44           53           57",False,False,False,False,False,"[[45.0 50.0 55.0]
 [48.0 52.0 53.0]
 [46.0 51.0 56.0]
 [47.0 49.0 54.0]
 [44.0 53.0 57.0]]"
"A company wants to compare customer satisfaction scores for three different product models. The scores (out of 10) are: 
Conduct a one-way ANOVA to see if there are significant differences in customer satisfaction scores at α = 0.01.",0.01,CRD,"7 Model X Model Y Model Z
0       7       8       6
1       6       7       7
2       8       9       6
3       7       8       5
4       9       7       6",False,False,False,False,False,"[[7.0 8.0 6.0]
 [6.0 7.0 7.0]
 [8.0 9.0 6.0]
 [7.0 8.0 5.0]
 [9.0 7.0 6.0]]"
"To study the effect of three different diets on weight loss the following data represents the weight loss (in kg) for participants after one month:
Use one-way ANOVA to determine if there are significant differences in weight loss at the 0.05 level.",0.05,CRD,"14 Diet A Diet B Diet C
0       5      4      6
1       6      5      7
2       4      6      5
3       5      4      6
4       6      5      7",False,False,False,False,False,"[[5.0 4.0 6.0]
 [6.0 5.0 7.0]
 [4.0 6.0 5.0]
 [5.0 4.0 6.0]
 [6.0 5.0 7.0]]"
"The preference scores (out of 10) for three different packaging designs across two different markets:
Use a two-way ANOVA to determine if packaging design and market type affect customer preference. Set α = 0.05.",0.05,FD,"21    Market Packaging A Packaging B Packaging C
0   Market 1           8           7           9
1   Market 1           9           6           8
2   Market 1           7           8           9
3   Market 2           6           9           7
4   Market 2           8           7           6
5   Market 2           7           8           9",False,False,True,True,False,"[[8.0 7.0 9.0]
 [9.0 6.0 8.0]
 [7.0 8.0 9.0]
 [6.0 9.0 7.0]
 [8.0 7.0 6.0]
 [7.0 8.0 9.0]]"
"The productivity (in units) for employees using different tools and working different shifts:
Perform a two-way ANOVA to check if the type of tool and shift affect employee productivity at α = 0.05.",0.05,FD,"29        Shift Tool A Tool B Tool C
0     Day Shift     20     18     22
1     Day Shift     21     19     23
2     Day Shift     19     17     21
3   Night Shift     22     20     18
4   Night Shift     21     19     17
5   Night Shift     20     18     19",False,False,True,True,False,"[[20.0 18.0 22.0]
 [21.0 19.0 23.0]
 [19.0 17.0 21.0]
 [22.0 20.0 18.0]
 [21.0 19.0 17.0]
 [20.0 18.0 19.0]]"
"The effectiveness scores (out of 10) of different advertisement types across various media platforms:
Conduct a two-way ANOVA to determine if advertisement type and platform affect effectiveness at α = 0.05.",0.05,FD,"37 Platform Ad Type 1 Ad Type 2 Ad Type 3
0        TV         7         8         6
1        TV         8         7         5
2        TV         7         9         6
3    Online         6         7         8
4    Online         7         8         7
5    Online         5         6         9",False,False,True,True,False,"[[7.0 8.0 6.0]
 [8.0 7.0 5.0]
 [7.0 9.0 6.0]
 [6.0 7.0 8.0]
 [7.0 8.0 7.0]
 [5.0 6.0 9.0]]"
"The wear of tires from three different brands tested at different speeds (in 10000 miles) is:
Conduct a randomized block ANOVA to analyze the data at α = 0.01.",0.01,RBD,"45 Supplier Speed 20 mph Speed 40 mph Speed 60 mph
0         1            6            5            4
1         2            5            4            3
2         3            7            6            5
3         4            6            5            4
4         5            5            4            3",False,False,True,False,False,"[[6.0 5.0 4.0]
 [5.0 4.0 3.0]
 [7.0 6.0 5.0]
 [6.0 5.0 4.0]
 [5.0 4.0 3.0]]"
"The crop yield (in tons) for three types of fertilizers tested on different soil types:
Use randomized block design ANOVA to determine if there are significant differences in crop yield at the 0.05 level.",0.01,RBD,"52 Soil Type Fertilizer A Fertilizer B Fertilizer C
0          1          4.5            5          4.8
1          2          4.7          4.9          4.9
2          3          4.6          5.1          4.7
3          4          4.8          5.2          4.6
4          5          4.7            5          4.8",False,False,True,False,False,"[[4.5 5.0 4.8]
 [4.7 4.9 4.9]
 [4.6 5.1 4.7]
 [4.8 5.2 4.6]
 [4.7 5.0 4.8]]"
"The energy consumption (in kWh) for different appliances tested in various households:
Conduct a randomized block ANOVA to analyze the data at α = 0.01.",0.01,RBD,"59 Household Appliance A Appliance B Appliance C
0          1         1.2         1.5         1.3
1          2         1.4         1.6         1.2
2          3         1.3         1.5         1.4
3          4         1.2         1.4         1.5
4          5         1.3         1.5         1.3",False,False,True,False,False,"[[1.2 1.5 1.3]
 [1.4 1.6 1.2]
 [1.3 1.5 1.4]
 [1.2 1.4 1.5]
 [1.3 1.5 1.3]]"
Performing these calculations for the machine operator example yields the following.,Insufficient Data,Insufficient Data,"66     1     2     3     4
0   6.33  6.26  6.44  6.29
1   6.26  6.36  6.38  6.23
2   6.31  6.23  6.58  6.19
3   6.29  6.27  6.54  6.21
4    6.4  6.19  6.56  6.22",False,False,False,False,False,"[[6.33 6.26 6.44 6.29]
 [6.26 6.36 6.38 6.23]
 [6.31 6.23 6.58 6.19]
 [6.29 6.27 6.54 6.21]
 [6.4 6.19 6.56 6.22]]"
"A company has three manufacturing plants and company officials want to determine whether there is a difference in the average age of workers at the three locations. The following data are the ages of five randomly selected workers at each
plant. Perform a one-way ANOVA to determine whether there is a significant difference in the mean ages of the workers at the three plants. Use = .01 and note that
the sample sizes are equal.",0.01,CRD,"73 Plant (Employee Ages)        
0                      1   2   3
1                     29  32  25
2                     27  33  24
3                     30  31  24
4                     27  34  25
5                     28  30  26",False,False,False,False,True,"[[29.0 32.0 25.0]
 [27.0 33.0 24.0]
 [30.0 31.0 24.0]
 [27.0 34.0 25.0]
 [28.0 30.0 26.0]]"
"Compute a one-way ANOVA on the following data.
Determine the observed F value. Compare the observed F value with the critical
table F value and decide whether to reject the null hypothesis. Use = .05.",0.05,CRD,"81  1  2  3
0   2  5  3
1   1  3  4
2   3  6  5
3   3  4  5
4   2  5  3
5   1  3  5",False,False,False,False,False,"[[2.0 5.0 3.0]
 [1.0 3.0 4.0]
 [3.0 6.0 5.0]
 [3.0 4.0 5.0]
 [2.0 5.0 3.0]
 [1.0 3.0 5.0]]"
"Compute a one-way ANOVA on the following data.
Determine the observed F value. Compare the observed F value with the critical
table F value and decide whether to reject the null hypothesis. Use = .01.",0.01,CRD,"89   1   2   3   4   5
0   14  10  11  16  14
1   13   9  12  17  12
2   10  12  13  14  13
3   12   9  12  16  13
4   13  10  14  17  12",False,False,False,False,False,"[[14.0 10.0 11.0 16.0 14.0]
 [13.0 9.0 12.0 17.0 12.0]
 [10.0 12.0 13.0 14.0 13.0]
 [12.0 9.0 12.0 16.0 13.0]
 [13.0 10.0 14.0 17.0 12.0]]"
"Develop a one-way ANOVA on the following data.
Determine the observed F value. Compare it to the critical F value and decide
whether to reject the null hypothesis. Use a 1% level of significance.",0.01,CRD,"96    1    2    3    4
0   113  120  132  122
1   121  127  130  118
2   117  125  129  125
3   110  129  135  125",False,False,False,False,False,"[[113.0 120.0 132.0 122.0]
 [121.0 127.0 130.0 118.0]
 [117.0 125.0 129.0 125.0]
 [110.0 129.0 135.0 125.0]]"
"Compute a one-way ANOVA on the following data.
Determine the observed F value. Compare it to the critical table F value and decide
whether to reject the null hypothesis. Perform a t test for independent measures on
the data. Compare the t and F values. Are the results different? Use = .05.",0.05,Insufficient Data,"102   1   2
0    27  22
1    31  27
2    31  25
3    29  23
4    30  26
5    27  27
6    28  23",False,False,False,False,False,"[[27.0 22.0]
 [31.0 27.0]
 [31.0 25.0]
 [29.0 23.0]
 [30.0 26.0]
 [27.0 27.0]
 [28.0 23.0]]"
Compute a one-way ANOVA on the following data. Use alpha = 0.05. If there is a significant difference in treatment levels compute multiple comparisons. Let alpha = 0.05 for the multiple comparisons.,0.05,CRD,"111   1  2   3   4
0    10  9  12  10
1    12  7  13  10
2    15  9  14  13
3    11  6  14  12",False,False,False,False,False,"[[10.0 9.0 12.0 10.0]
 [12.0 7.0 13.0 10.0]
 [15.0 9.0 14.0 13.0]
 [11.0 6.0 14.0 12.0]]"
"A milk company has four machines that fill gallon jugs with milk. The quality control
manager is interested in determining whether the average fill for these machines is
the same. The following data represent random samples of fill measures (in quarts)
for 19 jugs of milk filled by the different machines. Use = .01 to test the 
hypotheses. Discuss the business implications of your findings.",0.01,CRD,"117 Machine 1  Machine 2 Machine 3 Machine 4
0         4.05      3.99      3.97         4
1         4.01      4.02      3.98      4.02
2         4.02      4.01      3.97      3.99
3         4.04      3.99      3.95      4.01
4         4.05      3.99      3.97         4
5         4.01      4.02      3.98      4.02",False,False,False,False,False,"[[4.05 3.99 3.97 4.0]
 [4.01 4.02 3.98 4.02]
 [4.02 4.01 3.97 3.99]
 [4.04 3.99 3.95 4.01]
 [4.05 3.99 3.97 4.0]
 [4.01 4.02 3.98 4.02]]"
"That the starting salaries of new accounting graduates would differ according to
geographic regions of the United States seems logical. A random selection of
accounting firms is taken from three geographic regions and each is asked to state
the starting salary for a new accounting graduate who is going to work in auditing.
The data obtained follow. Use a one-way ANOVA to analyze these data. Note that
the data can be restated to make the computations more reasonable (example:
$42500 = 4.25). Use a 1% level of significance. Discuss the business implications of
your findings.",0.01,CRD,"125  South Northeast   West
0    40500     51000  45500
1    41500     49500  43500
2    40000     49000  45000
3    41000     48000  46500
4    41500     49500  46000",False,False,False,False,False,"[[40500.0 51000.0 45500.0]
 [41500.0 49500.0 43500.0]
 [40000.0 49000.0 45000.0]
 [41000.0 48000.0 46500.0]
 [41500.0 49500.0 46000.0]]"
"A management consulting company presents a three-day seminar on project management to various clients. The seminar is basically the same each time it is given. However sometimes it is presented to high-level managers sometimes to midlevel managers and sometimes to low-level managers. The seminar facilitators believe evaluations of the seminar may vary with the audience. Suppose the  following data are some randomly selected evaluation scores from different levels of managers who attended the seminar. The ratings are on a scale from 1 to 10 with 10 being the highest. Use a one-way ANOVA to determine whether there is a significant difference in the evaluations according to manager level. Assume = .05. Discuss
the business implications of your findings",0.05,CRD,"132 High Level Mid Level Low Level
0            7         8         5
1            7         9         6
2            8         8         5
3            7        10         7
4            9         9         4
5            7         9         6
6            8         8         5",False,False,False,False,False,"[[7.0 8.0 5.0]
 [7.0 9.0 6.0]
 [8.0 8.0 5.0]
 [7.0 10.0 7.0]
 [9.0 9.0 4.0]
 [7.0 9.0 6.0]
 [8.0 8.0 5.0]]"
Family transportation costs are usually higher than most people believe because those costs include car payments insurance fuel costs repairs parking and public transportation. Twenty randomly selected families in four major cities are asked to use their records to estimate a monthly figure for transportation cost. Use the data obtained and ANOVA to test whether there is a significant difference in monthly transportation costs for families living in these cities. Assume that = .05. Discuss the business implications of your findings.,0.05,CRD,"141 Atlanta New York Los Angeles Chicago
0       650      250         850     540
1       480      525         700     450
2       550      300         950     675
3       600      175         780     550
4       675      500         600     600",False,False,False,False,False,"[[650.0 250.0 850.0 540.0]
 [480.0 525.0 700.0 450.0]
 [550.0 300.0 950.0 675.0]
 [600.0 175.0 780.0 550.0]
 [675.0 500.0 600.0 600.0]]"
Suppose a national travel association studied the cost of premium unleaded gasoline in the United States during the summer of 2010. From experience association direc- tors believed there was a significant difference in the average cost of a gallon of pre- mium gasoline among urban areas in different parts of the country. To test this belief they placed random calls to gasoline stations in five different cities. In addition the researchers realized that the brand of gasoline might make a difference. They were mostly interested in the differences between cities so they made city their treatment variable. To control for the fact that pricing varies with brand the researchers included brand as a blocking variable and selected six different brands to participate. The researchers randomly telephoned one gasoline station for each brand in each city resulting in 30 measurements (five cities and six brands). Each station operator was asked to report the current cost of a gallon of premium unleaded gasoline at that station. The data are shown here. Test these data by using a randomized block design analysis to determine whether there is a significant difference in the average cost of premium unleaded gasoline by city. Let a = .01.,0.01,RBD,"148 Brand Miami Philadelphia  Minneapolis San Antonio Oakland
0       A  3.47           3.4        3.38        3.32     3.5
1       B  3.43          3.41        3.42        3.35    3.44
2       C  3.44          3.41        3.43        3.36    3.45
3       D  3.46          3.45         3.4         3.3    3.45
4       E  3.46           3.4        3.39        3.39    3.48
5       F  3.44          3.43        3.42        3.39    3.49",False,False,True,False,False,"[[3.47 3.4 3.38 3.32 3.5]
 [3.43 3.41 3.42 3.35 3.44]
 [3.44 3.41 3.43 3.36 3.45]
 [3.46 3.45 3.4 3.3 3.45]
 [3.46 3.4 3.39 3.39 3.48]
 [3.44 3.43 3.42 3.39 3.49]]"
"Use ANOVA to analyze the data from the randomized block design given here. Let alpha = 0.05
State the null and alternative hypotheses and determine whether the null
hypothesis is rejected.",0.05,RBD,"156        Treatment level            
0    Block               1   2   3   4
1        1              23  26  24  24
2        2              31  35  32  33
3        3              27  29  26  27
4        4              21  28  27  22
5        5              18  25  27  20",False,False,True,False,True,"[[23.0 26.0 24.0 24.0]
 [31.0 35.0 32.0 33.0]
 [27.0 29.0 26.0 27.0]
 [21.0 28.0 27.0 22.0]
 [18.0 25.0 27.0 20.0]]"
"The following data were gathered from a randomized block design. Use to alpha = 0.01
test for a significant difference in the treatment levels. Establish the hypotheses and
reach a conclusion about the null hypothesis.",0.01,RBD,"164        Treatment level            
0    Block               1     2     3
1        1            1.28  1.29  1.29
2        2             1.4  1.36  1.35
3        3            1.15  1.13  1.19
4        4            1.22  1.18  1.24",False,False,True,False,True,"[[1.28 1.29 1.29]
 [1.4 1.36 1.35]
 [1.15 1.13 1.19]
 [1.22 1.18 1.24]]"
"Safety in motels and hotels is a growing concern among travelers. Suppose a survey
was conducted by the National Motel and Hotel Association to determine U.S.
travelers’ perception of safety in various motel chains. The association chose four
different national chains from the economy lodging sector and randomly selected 
10 people who had stayed overnight in a motel in each of the four chains in the past
two years. Each selected traveler was asked to rate each motel chain on a scale from 
0 to 100 to indicate how safe he or she felt at that motel. A score of 0 indicates
completely unsafe and a score of 100 indicates perfectly safe. The scores follow. Test
this randomized block design to determine whether there is a significant difference
in the safety ratings of the four motels. Use alpha = .05",0.05,RBD,"171 Traveler Motel 1 Motel 2 Motel 3 Motel 4
0          1      40      30      55      45
1          2      65      50      80      70
2          3      60      55      60      60
3          4      20      40      55      50
4          5      50      35      65      60
5          6      30      30      50      50
6          7      55      30      60      55
7          8      70      70      70      70
8          9      65      60      80      75
9         10      45      25      45      50",False,False,True,False,False,"[[40.0 30.0 55.0 45.0]
 [65.0 50.0 80.0 70.0]
 [60.0 55.0 60.0 60.0]
 [20.0 40.0 55.0 50.0]
 [50.0 35.0 65.0 60.0]
 [30.0 30.0 50.0 50.0]
 [55.0 30.0 60.0 55.0]
 [70.0 70.0 70.0 70.0]
 [65.0 60.0 80.0 75.0]
 [45.0 25.0 45.0 50.0]]"
"In recent years the debate over the U.S. economy has been constant. The electorate
seems somewhat divided as to whether the economy is in a recovery or not.
Suppose a survey was undertaken to ascertain whether the perception of economic
recovery differs according to political affiliation. People were selected for the survey
from the Democratic Party the Republican Party and those classifying themselves
as independents. A 25-point scale was developed in which respondents gave a score
of 25 if they felt the economy was definitely in complete recovery a 0 if the economy
was definitely not in a recovery and some value in between for more uncertain
responses. To control for differences in socioeconomic class a blocking variable was
maintained using five different socioeconomic categories. The data are given here in
the form of a randomized block design. Use to determine whether there is
a significant difference in mean responses according to political affiliation.",Insufficient Data,RBD,"183                      Political Affiliation                         
0    Socioeconomic Class             Democrat   Republican  Independent
1                  Upper                    11           5            8
2           Upper middle                    15           9            8
3                 Middle                    19          14           15
4           Lower middle                    16          12           10
5                  Lower                     9           8            7",False,False,True,False,True,"[[11.0 5.0 8.0]
 [15.0 9.0 8.0]
 [19.0 14.0 15.0]
 [16.0 12.0 10.0]
 [9.0 8.0 7.0]]"
"The data gathered from a two-way factorial design follow. Use the two-way ANOVA
to analyze these data. let alpha  = 0.01",0.01,FD,"191                   Treatment 1        
0            NaN  NaN           A   B   C
1    Treatment 2    A          23  21  20
2            NaN    A          25  21  22
3            NaN    B          27  24  26
4            NaN    B          28  27  27",True,True,True,False,True,"[[23.0 21.0 20.0]
 [25.0 21.0 22.0]
 [27.0 24.0 26.0]
 [28.0 27.0 27.0]]"
"Suppose the following data have been gathered from a study with a two-way 
factorial design. Use alpha = 0.05 two-way ANOVA to analyze the data. State your
conclusions.",0.05,FD,"198                   Treatment 2               
0            NaN  NaN           A    B    C    D
1    Treatment 1    A         1.2  2.2  1.7  2.4
2            NaN    B         1.9  2.7  1.9  2.8",True,True,True,False,True,"[[1.2 2.2 1.7 2.4]
 [1.9 2.7 1.9 2.8]]"
"Children are generally believed to have considerable influence over their parents in the purchase of certain items particularly food and beverage items. To study this notion further a study is conducted in which parents are asked to report how many food and beverage items purchased by the family per week are purchased mainly because of the influence of their children. Because the age of the child may have an effect on the study parents are asked to focus on one particular child in the family for the week and to report the age of the child. Four age categories are selected for the children: 4–5 years 6–7 years 8–9 years and 10–12 years. Also because the number of children in the family might make a difference three different sizes of families are chosen for the study: families with one child families with two children and families with three or
more children. Suppose the following data represent the reported number of child-influenced buying incidents per week. Use the data to compute a two-way ANOVA. Let alpha = 0.05",0.05,FD,"203                              Number of Children in Family              
0                     NaN    NaN                            1  2  3 or more
1    Age of Child (years)    4-5                            2  1          1
2                     NaN    4-5                            4  2          1
3                     NaN    6-7                            5  3          2
4                     NaN    6-7                            4  1          1
5                     NaN    8-9                            8  4          2
6                     NaN    8-9                            6  5          3
7                     NaN  10-12                            7  3          4
8                     NaN  10-12                            8  5          3",True,True,True,False,False,"[[1.0 2.0 '3 or more']
 [2.0 1.0 1.0]
 [4.0 2.0 1.0]
 [5.0 3.0 2.0]
 [4.0 1.0 1.0]
 [8.0 4.0 2.0]
 [6.0 5.0 3.0]
 [7.0 3.0 4.0]
 [8.0 5.0 3.0]]"
A shoe retailer conducted a study to determine whether there is a difference in the number of pairs of shoes sold per day by stores according to the number of competitors within a 1-mile radius and the location of the store. The company researchers selected three types of stores for consideration in the study: stand-alone suburban stores mall stores and downtown stores. These stores vary in the numbers of competing stores within a 1-mile radius which have been reduced to four categories: 0 competitors 1 competitor 2 competitors and 3 or more competitors. Suppose the following data represent the number of pairs of shoes sold per day for each of these types of stores with the given number of competitors. Use alpha = 0.05 two-way ANOVA to analyze the data.,0.05,FD,"214                              Number of Competitors                   
0               NaN          NaN                     0   1   2  3 or more
1    Store Location  Stand-Alone                    41  38  59         47
2               NaN  Stand-Alone                    30  31  48         40
3               NaN  Stand-Alone                    45  39  51         39
4               NaN         Mall                    25  29  44         43
5               NaN         Mall                    31  35  48         42
6               NaN         Mall                    22  30  50         53
7               NaN     Downtown                    18  22  29         24
8               NaN     Downtown                    29  17  28         27
9               NaN     Downtown                    33  25  26         32",True,True,True,False,False,"[[0.0 1.0 2.0 '3 or more']
 [41.0 38.0 59.0 47.0]
 [30.0 31.0 48.0 40.0]
 [45.0 39.0 51.0 39.0]
 [25.0 29.0 44.0 43.0]
 [31.0 35.0 48.0 42.0]
 [22.0 30.0 50.0 53.0]
 [18.0 22.0 29.0 24.0]
 [29.0 17.0 28.0 27.0]
 [33.0 25.0 26.0 32.0]]"
"Consider the valve opening data displayed in Table 11.1. Suppose the data 
represent valves produced on four different machines on three different shifts
and that the quality controllers want to know whether there is any difference in
the mean measurements of valve openings by shift or by machine. The data are
given here organized by machine and shift. In addition Excel has been used to
analyze the data with a two-way ANOVA. What are the hypotheses for this
problem? Study the output in terms of significant differences. Discuss the
results obtained. What conclusions might the quality controllers reach 
from this analysis?",Insufficient Data,FD,"226               Valve Openings (cm)                  
0        NaN  NaN             Shift 1  Shift 2  Shift 3
1    Machine    1                6.56     6.38     6.29
2        NaN    1                 6.4     6.19     6.23
3        NaN    2                6.54     6.26     6.19
4        NaN    2                6.34     6.23     6.33
5        NaN    3                6.58     6.22     6.26
6        NaN    3                6.44     6.27     6.31
7        NaN    4                6.36     6.29     6.21
8        NaN    4                 6.5     6.19     6.58",True,True,True,False,False,"[['Shift 1' 'Shift 2' 'Shift 3']
 [6.56 6.38 6.29]
 [6.4 6.19 6.23]
 [6.54 6.26 6.19]
 [6.34 6.23 6.33]
 [6.58 6.22 6.26]
 [6.44 6.27 6.31]
 [6.36 6.29 6.21]
 [6.5 6.19 6.58]]"
 Compute a one-way ANOVA of the following data. Let alpha = 0.01.Cconduct multiple comparisons for the means.,0.01,CRD,"237 Treatment        
0           1   2   3
1           7  11   8
2          12  17   6
3           9  16  10
4          11  13   9
5           8  10  11
6           9  15   7
7          11  14  10
8          10  18   9",False,False,False,False,True,"[[7.0 11.0 8.0]
 [12.0 17.0 6.0]
 [9.0 16.0 10.0]
 [11.0 13.0 9.0]
 [8.0 10.0 11.0]
 [9.0 15.0 7.0]
 [11.0 14.0 10.0]
 [10.0 18.0 9.0]]"
" Analyze the following data gathered from a randomized block design using If there is a significant
difference in the treatment effects do multiple comparisons.",Insufficient Data,RBD,"248                         Treatment            
0                  NaN  NaN         A   B   C   D
1    BLOCKING VARIABLE    1        17  10   9  21
2                  NaN    2        13   9   8  16
3                  NaN    3        20  17  18  22
4                  NaN    4        11   6   5  10
5                  NaN    5        16  13  14  22
6                  NaN    6        23  19  20  28",True,False,True,False,True,"[[1.0 17.0 10.0 9.0 21.0]
 [2.0 13.0 9.0 8.0 16.0]
 [3.0 20.0 17.0 18.0 22.0]
 [4.0 11.0 6.0 5.0 10.0]
 [5.0 16.0 13.0 14.0 22.0]
 [6.0 23.0 19.0 20.0 28.0]]"
